,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
63,Vegetalia Born,,,4.5,,Pl. Del Fossar de Les Moreres,"Plaça del Fossar de les Moreres, Barcelona, Spain",41.3837036,2.182433
64,Internacional Bar Restaurante,,,4.5,,"Carrer De La Jonquera 26,","Carrer de la Jonquera, 08005 Barcelona, Spain",41.4000758,2.207348
65,Terra Mia,,,4.5,,C/ Ramiro de Maeztu N0 31,"Ramiro de Maeztu, carrer de Ramiro de Maeztu, 08913 Badalona, Spain",41.4387273,2.2162187
66,La Tasqueta De Blai,,€5 - €30,4.5,,"Carrer de Blai, 17","La tasqueta de Blai, Carrer de Blai, 17, 08001 Barcelona, Spain",41.3733347,2.1652358
67,Can Sardi,,"Italian, Seafood, Mediterranean, European, Sardinian, Southern-Italian",4.5,,Carrer Pepe Rubianes 25,"Pepe Rubianes, Carrer de Pepe Rubianes, 08 Barcelona, Spain",41.3784392,2.1897456
68,EatMyTrip - Brunch & Bakery Barcelona,,€2 - €14,4.5,,Carrer del Consell de Cent 378,"Carrer del Consell de Cent, Eatmytrip Brunch & Bakery, 378, 08009 Barcelona, Spain",41.3951279,2.1713149
69,Restaurante Fastuc,,€30 - €55,4.5,,Carrer d'Oliana 14,"Carrer d'Oliana, 08006 Barcelona, Spain",41.3985791,2.1477331
70,Donizetti,,€15 - €30,4.5,,Diputacio 137,"Diputació, 08733 Puigdàlber, Spain",41.4039736,1.6994345
71,City Bar & Restaurant,,,4.5,,"Via Laietana, 30","Via Laietana, 30, 08002 Barcelona, Spain",41.3847811,2.1778795
72,Agreste de Fabio & Roser,,€12 - €70,4.5,,Carrer Funoses Llussa 2,"Carrer Funoses Llussà, 2, 08023 Barcelona, Spain",41.4199131,2.1487541
73,Lascar 74,,€9 - €20,4.5,,Calle del Roser 74,"lascar74, Carrer del Roser, 74, 08004 Barcelona, Spain",41.3719464,2.165653
74,Spoonik,,€90 - €90,4.5,,Plaza Lesseps 13,"Plaça de Lesseps, Barcelona, Spain",41.4070092,2.1505914
75,Tomasso - New York Pizza,,€9 - €13,4.5,,Carrer de Londres 93,"Carrer de Londres, 93, 08036 Barcelona, Spain",41.3931512,2.1500338
76,Cal Trapella - Cuina de Mercat,,€15 - €30,5.0,,Carrer de Francisco Giner,"Carrer de Francisco Giner, 08008 Barcelona, Spain",41.399093,2.1591747
77,Comida De Olla,,"Mediterranean, European, Spanish, Catalan",4.5,,"Carrer de Praga, 1","Comida de Olla, Carrer de Praga, 1, 08024 Barcelona, Spain",41.4121042,2.1642642
78,Arabia Cafe-Restaurant,,"Arabic, Lebanese, Moroccan, Mediterranean, Middle Eastern",4.5,,"Carrer dels Escudellers, 25","Carrer dels Escudellers, 80002 Barcelona, Spain",41.3799218,2.1766799
79,Arcano,,,4.5,,"Carrer dels Mercaders, 10","Carrer dels Mercaders, 6-10, 08800 Vilanova i la Geltrú, Spain",41.2267429,1.7262841
80,Tandoori Nights,,€15 - €25,4.5,,Carrer Carretes 44,"Carrer de les Carretes, 08001 Barcelona, Spain",41.3774375,2.1674209
81,Minamo,,"Japanese, Sushi, Asian",4.5,,Bruc 65,"el Bruc, Catalonia, Spain",41.5792357,1.7812982
82,Red Garter Barcelona,,"Steakhouse, Bar, European, American, Gastropub",4.5,,Passeig de Colom 23,"Passeig de Colom, 23, 08002 Barcelona, Spain",41.3775516,2.1788947
83,Bar Casi,,,4.5,,"Calle Massens, 70","Carrer de Massens, 8 Barcelona, Spain",41.4092917,2.1556252
84,Diegos Bar Restaurant,,,5.0,,Avinguda Meridiana 127 Local 1,"Avinguda Meridiana, 08016 Barcelona, Spain",41.4344523,2.1835476
85,Bierzo food,,€12 - €30,4.5,,"Carrer de les Flors, 16","Domino Bar, Carrer de les Flors, 16, 08001 Barcelona, Spain",41.3759568,2.1677275
86,Eat Caribbean,,,4.5,,Calle Montserrat 4,"Carrer Montserrat, Sant Llorenç Savall, Spain",41.6812727,2.0541691
87,Restaurant Montiel,,,4.5,,Calle Flassaders 19,"Carrer dels Flassaders, CP 08003 Barcelona, Spain",41.3854602,2.1819782
88,L'Escale Bistrot,,€17 - €43,4.5,,Passatge de Lluis Pellicer 12,"Passatge Lluis Pellicer, 08036 Barcelona, Spain",41.3927545,2.1490444
89,Atelier Pan&Cook,,€7 - €25,4.5,,"Carrer Font Honrada, 3","Carrer de la Font Honrada, 8015 Barcelona, Spain",41.3721964,2.155954
90,Oria Restaurant,,,4.5,,"Passeig de Gracia, 75","Monument Hotel, Passeig de Gràcia, 75, 08008 Barcelona, Spain",41.3937566,2.162242
91,Argentinisimo,,€2 - €25,4.5,,C/ Casanova 70,"Avinyó, Catalonia, Spain",41.8799485,1.9562008
92,Rasoi,,€20 - €40,4.5,,C/ Londres 63,"Londres, Carrer de Mallorca, 532, 8025 Barcelona, Spain",41.4083463,2.1821202
93,Guelly Sandwichpark,,Fast Food,4.5,,Av. Coll del portell 77,"Coll del Portell, 08017 Sant Just Desvern, Spain",41.3974818,2.1001918
94,Viet Kitchen,,,4.5,,"Carrer D'Aribau , 137","Carrer d'Aribau, 137, 08036 Barcelona, Spain",41.3919209,2.1541997
95,A Tu Bola,,,4.5,,"Carrer de l'Hospital, 78","A Tu Bola, Carrer de l'Hospital, 78, 08001 Barcelona, Spain",41.3800857,2.1689232
96,Restaurant Pau Claris 190,,,4.5,,Pau Claris 190,"Pau Claris, Gran Via de les Corts Catalanes, 08007 Barcelona, Spain",41.3897269,2.1688642
97,Ristorante Pizzeria  Eden,,,4.5,,Carrer de Provenca 332,"Carrer de Provença, Ristorante Eden, 332, 08037 Barcelona, Spain",41.3972239,2.164949
98,Cheese and Cake,,€7 - €11,4.5,,Calle Lepant 257,"Carrer Lepant, 08291 Ripollet, Spain",41.4985934,2.1441239
99,Restaurante La Estrella,,,4.5,,"Ocata, 6","Ocata, Passeig Marítim, 08320 el Masnou, Spain",41.4789785,2.3198137
100,Crudo Bar,,,4.5,,"Gran Via De Les Corts Catalanes, 654","Crudo Bar, Gran Via de les Corts Catalanes, 654, 080009 Barcelona, Spain",41.3908113,2.170544
101,Bodega Vasconia,,€7 - €35,4.5,,Gignas 13,"La Cuina de la Mama, Carrer d'en Gignàs, 13, 08002 Barcelona, Spain",41.3809757,2.179848
102,L' Oasis a Consell,,€6 - €27,4.5,,Carrer del consell de cent 167,"L'Oasi a Consell, Carrer del Consell de Cent, 167, 08015 Barcelona, Spain",41.3830142,2.1547507
